,en,ko
0,you,너
1,i,나
2,the,그만큼
3,to,에게
4,s,에스
5,it,그것
6,and,그리고
7,that,저것
8,t,티
9,of,의
10,is,~이다
11,in,안에
12,what,무엇
13,we,우리
14,me,나
15,this,이것
16,he,그
17,for,~을 위한
18,my,나의
19,have,가지다
20,your,당신의
21,do,하다
22,was,~였다
23,m,중
24,no,아니요
25,not,~ 아니다
26,be,~이다
27,are,~이다
28,don,두목
29,know,알다 
30,can,~할 수 있다
31,with,~와 함께
32,but,하지만
33,all,모두
34,just,단지
35,there,거기
36,they,그들
37,like,처럼
38,ll,ll
39,get,가져 오기
40,she,그녀
41,go,가다
42,right,오른쪽
43,out,밖으로
44,about,~에 대한
45,up,위로
46,at,~에
47,him,그를
48,now,지금
49,oh,오
50,one,하나
51,come,오다
52,well,잘
53,her,그녀의
54,how,어떻게
55,yeah,응
56,ve,ve
57,got,갖다
58,want,원하다
59,think,생각한다
60,as,~처럼
61,see,보다
62,did,했다
63,good,좋은
64,who,누구
65,why,왜
66,from,~에서
67,let,허락하다
68,his,그의
69,yes,예
70,going,가고 있다
71,time,시각
72,okay,좋아요
73,back,뒤
74,look,바라보다
75,us,우리를
76,would,~일 것이다
77,them,그들을
78,where,어디
79,were,~이었다
80,take,가져가다
81,then,그 다음에
82,had,가졌다
83,or,또는
84,been,계속 ~ 이다
85,our,우리의
86,gonna,할거야
87,tell,말하다
88,really,진짜
89,man,남성
90,some,약간
91,say,말하다
92,hey,야
93,d,디
94,didn,그랬어
95,by,~에 의해
96,something,무엇
97,has,가지다
98,too,~도
99,more,더
100,way,방법
101,down,아래에
102,make,만들다
103,very,매우
104,never,절대
105,only,뿐
106,people,사람들
107,over,~ 위에
108,because,왜냐하면
109,little,작은
110,love,사랑
111,should,~해야 한다
112,said,말했다
113,sorry,죄송합니다
114,give,주다
115,off,끄다
116,am,~이다
117,thank,감사하다
118,any,어느
119,two,둘
120,even,조차
121,much,많이
122,doing,행위
123,sure,확실한
124,thing,물건
125,these,이것들
126,help,돕다
127,first,첫 번째
128,into,~ 안으로
129,anything,아무것
130,still,아직
131,find,찾기
132,life,삶
133,nothing,아무것도 아님
134,sir,선생님
135,day,낮
136,god,하느님
137,work,일하다
138,their,그들의
139,uh,음
140,again,다시
141,must,~ 해야 하다
142,before,~ 전에
143,other,다른
144,wait,기다리다
145,stop,멈추다
146,call,전화
147,after,~ 후에
148,won,이겼다
149,talk,말하다
150,away,떨어져 있는
151,than,~보다
152,home,집
153,night,밤
154,put,놓다
155,great,엄청난
156,those,저것들
157,last,마지막
158,better,더 나은
159,everything,모든 것
160,told,말했다
161,mr.,씨.
162,new,새로운
163,things,것들
164,always,언제나
165,keep,유지하다
166,long,긴
167,years,연령
168,leave,떠나다
169,money,돈
170,around,주위에
171,doesn,그렇습니다
172,name,이름
173,place,장소
174,ever,항상
175,feel,느끼다
176,guys,얘들아
177,father,아버지
178,guy,남자
179,old,낡은
180,isn,ISN
181,which,어느
182,big,큰
183,lot,많은
184,done,완료
185,nice,멋진
186,believe,믿다
187,girl,여자
188,someone,누구
189,thanks,감사해요
190,wanted,원해
191,kind,친절한
192,coming,오는
193,house,집
194,every,모든
195,ok,좋아요
196,through,~을 통해
197,being,존재
198,course,강의
199,stay,머무르다
200,left,왼쪽
201,enough,충분한
202,happened,일어난
203,came,왔다
204,may,5월
205,mother,어머니
206,wrong,잘못된
207,world,세계
208,bad,나쁜
209,might,~할 것 같다
210,three,삼
211,today,오늘
212,listen,듣다
213,another,또 다른
214,understand,이해하다
215,hear,듣다
216,remember,기억하다
217,ask,물어보기
218,own,소유하다
219,same,같은
220,show,보여 주다
221,else,또 다른
222,kill,죽이다
223,talking,말하는
224,found,설립하다
225,getting,구하는
226,care,케어
227,car,자동차
228,son,아들
229,try,노력하다
230,woman,여성
231,went,갔다
232,hi,안녕
233,dead,죽은
234,many,많은
235,mind,정신
236,wasn,넌
237,friend,친구
238,best,베스트
239,mom,엄마
240,hell,지옥
241,morning,아침
242,trying,견딜 수 없는
243,boy,소년
244,together,함께
245,yourself,당신 자신
246,job,직업
247,saw,봤다
248,family,가족
249,without,없이
250,baby,아기
251,room,방
252,wouldn,할 것입니다
253,already,이미
254,move,이동하다
255,seen,본다
256,live,라이브
257,miss,놓치다
258,actually,실제로
259,huh,뭐
260,shit,똥
261,both,둘 다
262,heard,들었다
263,once,한 번
264,ready,준비가 된
265,head,머리
266,used,사용된
267,idea,아이디어
268,knew,알고 있었다
269,hold,잡고 있다
270,happy,행복하다
271,door,문
272,such,그런
273,fuck,못쓰게 만들다
274,brother,형제
